BookWordCount BookScore BookScoreCount AddListCount Mode Median StandardDeviation Quartile DispersionCoefficient Kurtosis Class
0.71 7.6 90 17 10.00 8.00 2.72 4.00 0.36 278.88 good
0.94 6.8 153 45 8.00 8.00 2.54 2.00 0.38 223.96 bad
0.47 7.4 20 5 8.00 8.00 2.03 2.00 0.28 758.93 bad
0.91 5.9 51 2 2.00 8.00 3.21 6.00 0.55 49.13 bad
0.95 6.1 248 119 8.00 6.00 2.75 4.00 0.45 106.33 bad
0.99 7.3 956 180 10.00 8.00 2.60 4.00 0.36 259.41 good
0.92 6.8 19 8 8.00 8.00 2.42 2.00 0.36 278.58 bad
0.90 6.1 46 16 6.00 6.00 1.97 4.00 0.32 393.48 bad
0.87 6.4 21 8 6.00 6.00 2.15 2.00 0.34 344.01 good
0.89 6.8 429 110 8.00 8.00 2.79 4.00 0.41 159.36 good
1.00 7.6 745 183 10.00 8.00 2.42 4.00 0.32 440.27 bad
0.93 6.2 217 57 6.00 6.00 2.60 4.00 0.42 147.32 bad
0.96 5.2 531 94 2.00 6.00 2.66 6.00 0.50 65.93 bad
0.96 8.3 714 193 10.00 10.00 2.47 2.00 0.30 599.56 bad
0.94 5.8 25 4 6.00 6.00 2.33 2.00 0.40 173.53 bad
0.97 5.6 31 3 4.00 4.00 2.68 4.00 0.47 87.78 bad
0.87 6.6 104 22 6.00 6.00 2.56 4.00 0.39 188.48 bad
0.83 5.9 21 3 6.00 6.00 2.57 4.00 0.44 116.65 bad
0.94 5.2 356 55 2.00 4.00 2.82 6.00 0.54 51.21 good
0.96 7.0 222 53 6.00 8.00 2.54 4.00 0.37 249.84 bad
0.95 6.4 182 65 10.00 6.00 2.97 6.00 0.46 95.46 bad
0.98 6.7 1636 321 10.00 8.00 2.94 6.00 0.44 118.81 good
0.97 6.4 145 49 8.00 6.00 2.46 4.00 0.38 208.64 bad
0.90 4.0 16 4 2.00 2.00 2.56 4.00 0.63 25.57 bad
0.96 7.2 654 218 10.00 8.00 2.82 4.00 0.39 191.97 good
0.96 7.8 527 141 10.00 8.00 2.48 4.00 0.32 444.03 good
0.94 6.9 396 121 8.00 8.00 2.44 2.00 0.35 288.02 bad
0.92 7.0 218 57 8.00 8.00 2.42 2.00 0.35 299.63 good
0.95 5.5 13 4 6.00 6.00 2.35 2.00 0.43 128.84 bad
0.85 6.7 188 100 8.00 8.00 2.36 2.00 0.35 282.28 good
0.78 6.5 39 7 8.00 8.00 2.53 2.00 0.39 198.40 good
0.97 7.3 2113 558 8.00 8.00 2.40 4.00 0.33 391.57 good
0.97 6.5 942 253 6.00 6.00 2.39 2.00 0.37 243.27 bad
0.91 7.0 42 8 6.00 8.00 2.46 4.00 0.35 297.05 bad
0.98 7.1 219 65 10.00 8.00 2.47 4.00 0.35 286.97 bad
0.93 5.3 225 39 2.00 6.00 2.63 6.00 0.51 65.28 good
0.77 6.6 29 6 6.00 6.00 1.89 2.00 0.29 664.54 bad
0.97 4.9 25 5 6.00 4.00 2.29 2.00 0.46 92.39 bad
0.97 7.4 339 98 8.00 8.00 2.42 4.00 0.33 385.10 good
0.92 6.0 349 102 6.00 6.00 2.70 4.00 0.44 114.14 good
0.98 6.4 1184 188 10.00 6.00 3.13 6.00 0.50 72.91 bad
0.99 8.7 5393 1586 10.00 10.00 2.14 2.00 0.25 1238.93 good
0.95 6.0 88 34 6.00 6.00 2.38 4.00 0.40 170.95 bad
0.96 5.8 112 31 6.00 6.00 2.46 4.00 0.43 131.59 bad
0.97 5.8 182 53 8.00 6.00 2.60 4.00 0.44 113.09 good
0.95 5.4 201 63 6.00 6.00 2.55 4.00 0.48 84.03 bad
0.98 6.1 136 25 6.00 6.00 2.45 4.00 0.40 164.81 bad
0.84 8.5 1114 218 10.00 10.00 2.31 2.00 0.27 875.52 bad
0.96 5.5 282 76 6.00 6.00 2.36 4.00 0.43 125.49 bad
0.96 6.0 19 7 6.00 6.00 2.53 4.00 0.42 138.45 good
0.91 5.5 34 5 6.00 6.00 2.37 2.00 0.42 132.92 bad
0.94 6.5 274 112 6.00 6.00 2.11 2.00 0.33 387.39 bad
0.99 7.3 1575 274 8.00 8.00 2.52 4.00 0.35 297.36 good
0.94 5.6 45 15 8.00 6.00 2.70 6.00 0.49 75.21 good
0.96 4.5 59 14 6.00 4.00 2.03 4.00 0.45 102.63 bad
0.93 7.0 385 126 8.00 8.00 2.44 4.00 0.35 313.76 bad
0.97 7.0 93 32 6.00 6.00 2.17 2.00 0.31 502.72 good
0.98 5.6 320 57 6.00 6.00 2.56 4.00 0.45 101.09 good
0.92 8.9 768 149 10.00 10.00 2.01 2.00 0.22 1797.82 good
0.94 6.4 353 48 10.00 8.00 3.14 8.00 0.49 76.64 good
0.85 7.4 387 146 10.00 8.00 2.56 4.00 0.34 319.05 good
0.98 6.5 607 108 10.00 8.00 3.15 8.00 0.48 82.37 good
0.98 7.3 2063 510 10.00 8.00 2.79 4.00 0.38 209.65 good
0.89 5.7 82 11 6.00 6.00 2.80 6.00 0.49 73.99 bad
0.97 4.4 31 5 4.00 4.00 2.33 4.00 0.52 58.14 good
0.98 6.4 614 131 8.00 6.00 2.44 4.00 0.38 212.10 good
0.96 5.9 23 1 8.00 6.00 2.28 4.00 0.39 194.01 bad
0.97 6.5 795 168 8.00 8.00 2.61 4.00 0.40 176.74 good
0.98 7.0 1310 293 8.00 8.00 2.58 4.00 0.37 234.30 bad
0.93 4.8 68 9 6.00 4.00 2.43 4.00 0.51 63.17 bad
0.99 7.8 1641 303 10.00 8.00 2.40 4.00 0.31 478.73 good
0.98 5.7 328 53 2.00 6.00 2.98 6.00 0.53 56.35 bad
0.96 7.0 1100 206 8.00 8.00 2.44 2.00 0.35 304.97 good
0.88 6.4 21 7 8.00 8.00 2.18 4.00 0.33 361.68 bad
0.80 6.9 83 19 8.00 8.00 2.41 2.00 0.35 311.51 bad
0.99 7.8 2366 365 10.00 8.00 2.61 4.00 0.33 364.52 good
0.97 5.5 153 42 8.00 6.00 2.62 4.00 0.47 86.23 bad
0.98 5.4 364 103 6.00 6.00 2.45 4.00 0.46 97.95 bad
0.92 6.7 61 28 6.00 6.00 1.74 2.00 0.26 909.70 bad
0.99 7.0 2356 710 8.00 8.00 2.27 2.00 0.32 402.15 good
0.97 3.9 208 26 2.00 4.00 2.20 4.00 0.56 40.59 good
0.98 3.3 1080 54 2.00 2.00 2.56 0.00 0.80 9.99 bad
0.99 6.0 674 178 8.00 6.00 2.68 4.00 0.44 113.50 good
0.89 6.1 21 5 6.00 6.00 2.49 4.00 0.41 158.29 bad
0.94 6.8 638 125 10.00 8.00 3.13 6.00 0.45 105.22 bad
0.97 5.1 45 12 2.00 6.00 2.58 4.00 0.51 62.68 good
0.93 5.7 209 50 6.00 6.00 2.58 4.00 0.45 105.28 good
