BookWordCount BookScore BookScoreCount AddListCount OneStarRate TwoStarRate ThreeStarRate FourStarRate FiveStarRate Mode Median StandardDeviation Quartile DispersionCoefficient Kurtosis Class
168.40 6.7 670 289 0.06 0.14 0.34 0.29 0.17 6.00 6.00 2.20 2.00 0.33 389.04 good
300.10 5.4 686 215 0.27 0.17 0.26 0.20 0.11 2.00 6.00 2.69 6.00 0.49 74.29 bad
74.40 5.1 81 18 0.36 0.13 0.24 0.14 0.14 2.00 6.00 2.89 6.00 0.56 44.83 good
296.80 5.4 1885 242 0.43 0.07 0.11 0.16 0.23 2.00 4.00 3.33 6.00 0.62 29.34 good
380.50 5.8 299 93 0.17 0.20 0.30 0.23 0.10 6.00 6.00 2.45 4.00 0.42 135.14 bad
123.50 7.1 108 28 0.14 0.07 0.19 0.33 0.27 8.00 8.00 2.66 4.00 0.38 218.67 good
49.70 5.3 79 20 0.22 0.28 0.20 0.22 0.08 4.00 4.00 2.52 4.00 0.47 85.63 bad
281.40 6.8 1248 371 0.09 0.09 0.33 0.33 0.17 8.00 6.00 2.28 2.00 0.33 362.40 bad
44.50 5.9 72 13 0.19 0.10 0.39 0.23 0.10 6.00 6.00 2.44 4.00 0.41 155.38 bad
51.90 5.3 29 7 0.18 0.28 0.32 0.14 0.07 6.00 6.00 2.27 2.00 0.44 119.73 good
84.60 5.9 133 42 0.05 0.30 0.37 0.21 0.07 6.00 6.00 1.99 4.00 0.34 339.26 bad
76.10 7.9 1780 446 0.09 0.04 0.15 0.30 0.42 10.00 8.00 2.48 4.00 0.32 453.60 bad
53.70 4.0 22 1 0.43 0.33 0.14 0.00 0.10 2.00 4.00 2.42 2.00 0.60 31.11 bad
13.00 7.0 43 9 0.12 0.05 0.33 0.21 0.29 6.00 6.00 2.57 4.00 0.37 245.77 good
106.40 5.6 55 11 0.13 0.28 0.33 0.20 0.06 6.00 6.00 2.18 4.00 0.39 182.02 bad
40.40 5.3 80 13 0.25 0.20 0.32 0.10 0.13 6.00 6.00 2.61 4.00 0.49 74.03 good
293.40 6.2 2109 551 0.24 0.07 0.21 0.29 0.18 8.00 6.00 2.85 4.00 0.46 94.54 bad
63.50 7.5 461 70 0.13 0.05 0.14 0.30 0.37 10.00 8.00 2.69 4.00 0.36 256.16 good
133.40 6.5 484 138 0.12 0.21 0.21 0.21 0.25 10.00 6.00 2.71 6.00 0.42 148.52 good
45.10 6.2 108 19 0.18 0.21 0.18 0.20 0.23 10.00 6.00 2.86 4.00 0.46 95.85 bad
17.00 7.5 86 33 0.02 0.08 0.25 0.44 0.21 8.00 8.00 1.89 2.00 0.25 1104.85 good
49.60 5.3 13 3 0.08 0.50 0.08 0.34 0.00 4.00 4.00 2.06 4.00 0.38 199.64 bad
108.60 6.2 91 21 0.32 0.07 0.12 0.20 0.30 2.00 6.00 3.31 8.00 0.53 55.29 good
54.40 4.4 45 10 0.36 0.27 0.21 0.14 0.02 2.00 4.00 2.26 4.00 0.52 59.06 bad
72.20 4.8 82 22 0.27 0.28 0.31 0.07 0.07 6.00 4.00 2.31 4.00 0.48 77.07 bad
34.80 5.9 21 2 0.14 0.14 0.43 0.19 0.10 6.00 6.00 2.27 4.00 0.38 204.65 bad
16.80 7.6 90 17 0.12 0.06 0.16 0.25 0.42 10.00 8.00 2.72 4.00 0.36 278.88 good
79.60 6.8 153 45 0.12 0.11 0.25 0.30 0.22 8.00 8.00 2.54 2.00 0.38 223.96 bad
7.30 7.4 20 5 0.05 0.05 0.26 0.42 0.21 8.00 8.00 2.03 2.00 0.28 758.93 bad
55.40 5.9 51 2 0.34 0.10 0.04 0.32 0.20 2.00 8.00 3.21 6.00 0.55 49.13 bad
98.90 6.1 248 119 0.21 0.12 0.25 0.25 0.17 8.00 6.00 2.75 4.00 0.45 106.33 bad
390.00 7.3 956 180 0.10 0.08 0.26 0.20 0.35 10.00 8.00 2.60 4.00 0.36 259.41 good
68.60 6.8 19 8 0.11 0.11 0.22 0.39 0.17 8.00 8.00 2.42 2.00 0.36 278.58 bad
49.30 6.1 46 16 0.07 0.22 0.36 0.31 0.04 6.00 6.00 1.97 4.00 0.32 393.48 bad
39.60 6.4 21 8 0.10 0.10 0.40 0.30 0.10 6.00 6.00 2.15 2.00 0.34 344.01 good
46.20 6.8 429 110 0.18 0.07 0.15 0.36 0.24 8.00 8.00 2.79 4.00 0.41 159.36 good
1070.70 7.6 745 183 0.07 0.07 0.22 0.27 0.37 10.00 8.00 2.42 4.00 0.32 440.27 bad
70.00 6.2 217 57 0.18 0.10 0.33 0.24 0.16 6.00 6.00 2.60 4.00 0.42 147.32 bad
131.20 5.2 531 94 0.29 0.19 0.26 0.17 0.10 2.00 6.00 2.66 6.00 0.50 65.93 bad
144.70 8.3 714 193 0.08 0.03 0.13 0.19 0.58 10.00 10.00 2.47 2.00 0.30 599.56 bad
87.70 5.8 25 4 0.17 0.08 0.54 0.08 0.13 6.00 6.00 2.33 2.00 0.40 173.53 bad
183.00 5.6 31 3 0.12 0.41 0.20 0.05 0.22 4.00 4.00 2.68 4.00 0.47 87.78 bad
40.80 6.6 104 22 0.11 0.17 0.28 0.22 0.22 6.00 6.00 2.56 4.00 0.39 188.48 bad
30.00 5.9 21 3 0.19 0.14 0.33 0.19 0.14 6.00 6.00 2.57 4.00 0.44 116.65 bad
87.20 5.2 356 55 0.33 0.19 0.15 0.24 0.10 2.00 4.00 2.82 6.00 0.54 51.21 good
129.90 7.0 222 53 0.13 0.03 0.30 0.27 0.26 6.00 8.00 2.54 4.00 0.37 249.84 bad
112.10 6.4 182 65 0.22 0.09 0.23 0.19 0.27 10.00 6.00 2.97 6.00 0.46 95.46 bad
315.30 6.7 1636 321 0.19 0.10 0.18 0.23 0.30 10.00 8.00 2.94 6.00 0.44 118.81 good
153.20 6.4 145 49 0.11 0.17 0.27 0.28 0.17 8.00 6.00 2.46 4.00 0.38 208.64 bad
50.40 4.0 16 4 0.53 0.13 0.20 0.07 0.07 2.00 2.00 2.56 4.00 0.63 25.57 bad
126.20 7.2 654 218 0.15 0.08 0.16 0.28 0.34 10.00 8.00 2.82 4.00 0.39 191.97 good
116.50 7.8 527 141 0.09 0.04 0.16 0.29 0.42 10.00 8.00 2.48 4.00 0.32 444.03 good
90.50 6.9 396 121 0.11 0.08 0.26 0.34 0.21 8.00 8.00 2.44 2.00 0.35 288.02 bad
63.70 7.0 218 57 0.09 0.11 0.23 0.33 0.23 8.00 8.00 2.42 2.00 0.35 299.63 good
99.00 5.5 13 4 0.15 0.23 0.46 0.00 0.15 6.00 6.00 2.35 2.00 0.43 128.84 bad
34.10 6.7 188 100 0.10 0.11 0.28 0.33 0.17 8.00 8.00 2.36 2.00 0.35 282.28 good
22.20 6.5 39 7 0.18 0.03 0.26 0.40 0.13 8.00 8.00 2.53 2.00 0.39 198.40 good
170.60 7.3 2113 558 0.08 0.08 0.22 0.33 0.29 8.00 8.00 2.40 4.00 0.33 391.57 good
181.90 6.5 942 253 0.11 0.12 0.34 0.26 0.17 6.00 6.00 2.39 2.00 0.37 243.27 bad
59.90 7.0 42 8 0.12 0.02 0.34 0.27 0.25 6.00 8.00 2.46 4.00 0.35 297.05 bad
219.60 7.1 219 65 0.09 0.10 0.26 0.27 0.27 10.00 8.00 2.47 4.00 0.35 286.97 bad
78.10 5.3 225 39 0.30 0.14 0.26 0.21 0.08 2.00 6.00 2.63 6.00 0.51 65.28 good
21.40 6.6 29 6 0.05 0.08 0.50 0.26 0.11 6.00 6.00 1.89 2.00 0.29 664.54 bad
150.50 4.9 25 5 0.22 0.31 0.34 0.04 0.09 6.00 4.00 2.29 2.00 0.46 92.39 bad
198.70 7.4 339 98 0.08 0.08 0.19 0.33 0.31 8.00 8.00 2.42 4.00 0.33 385.10 good
64.40 6.0 349 102 0.20 0.14 0.27 0.24 0.16 6.00 6.00 2.70 4.00 0.44 114.14 good
310.00 6.4 1184 188 0.24 0.12 0.15 0.17 0.31 10.00 6.00 3.13 6.00 0.50 72.91 bad
446.50 8.7 5393 1586 0.05 0.02 0.10 0.20 0.63 10.00 10.00 2.14 2.00 0.25 1238.93 good
101.10 6.0 88 34 0.16 0.14 0.36 0.24 0.10 6.00 6.00 2.38 4.00 0.40 170.95 bad
133.50 5.8 112 31 0.17 0.21 0.28 0.24 0.10 6.00 6.00 2.46 4.00 0.43 131.59 bad
148.90 5.8 182 53 0.20 0.16 0.26 0.26 0.12 8.00 6.00 2.60 4.00 0.44 113.09 good
107.80 5.4 201 63 0.23 0.20 0.30 0.15 0.11 6.00 6.00 2.55 4.00 0.48 84.03 bad
247.80 6.1 136 25 0.15 0.13 0.36 0.21 0.14 6.00 6.00 2.45 4.00 0.40 164.81 bad
31.70 8.5 1114 218 0.07 0.02 0.09 0.23 0.60 10.00 10.00 2.31 2.00 0.27 875.52 bad
119.20 5.5 282 76 0.20 0.19 0.35 0.19 0.07 6.00 6.00 2.36 4.00 0.43 125.49 bad
118.30 6.0 19 7 0.17 0.12 0.42 0.12 0.17 6.00 6.00 2.53 4.00 0.42 138.45 good
59.10 5.5 34 5 0.21 0.11 0.45 0.14 0.09 6.00 6.00 2.37 2.00 0.42 132.92 bad
92.20 6.5 274 112 0.08 0.11 0.39 0.30 0.11 6.00 6.00 2.11 2.00 0.33 387.39 bad
427.70 7.3 1575 274 0.11 0.06 0.20 0.33 0.29 8.00 8.00 2.52 4.00 0.35 297.36 good
85.80 5.6 45 15 0.25 0.18 0.20 0.25 0.11 8.00 6.00 2.70 6.00 0.49 75.21 good
145.90 4.5 59 14 0.28 0.30 0.32 0.08 0.02 6.00 4.00 2.03 4.00 0.45 102.63 bad
79.20 7.0 385 126 0.09 0.10 0.28 0.29 0.25 8.00 8.00 2.44 4.00 0.35 313.76 bad
153.40 7.0 93 32 0.06 0.08 0.37 0.30 0.20 6.00 6.00 2.17 2.00 0.31 502.72 good
223.00 5.6 320 57 0.21 0.19 0.29 0.20 0.11 6.00 6.00 2.56 4.00 0.45 101.09 good
65.70 8.9 768 149 0.04 0.02 0.08 0.20 0.67 10.00 10.00 2.01 2.00 0.22 1797.82 good
89.70 6.4 353 48 0.26 0.06 0.16 0.21 0.30 10.00 8.00 3.14 8.00 0.49 76.64 good
34.20 7.4 387 146 0.10 0.06 0.22 0.26 0.36 10.00 8.00 2.56 4.00 0.34 319.05 good
296.70 6.5 607 108 0.25 0.08 0.13 0.23 0.31 10.00 8.00 3.15 8.00 0.48 82.37 good
322.80 7.3 2063 510 0.14 0.07 0.16 0.26 0.37 10.00 8.00 2.79 4.00 0.38 209.65 good
46.30 5.7 82 11 0.25 0.13 0.28 0.16 0.17 6.00 6.00 2.80 6.00 0.49 73.99 bad
195.70 4.4 31 5 0.30 0.41 0.13 0.11 0.06 4.00 4.00 2.33 4.00 0.52 58.14 good
237.20 6.4 614 131 0.13 0.14 0.25 0.35 0.13 8.00 6.00 2.44 4.00 0.38 212.10 good
145.80 5.9 23 1 0.17 0.13 0.33 0.33 0.04 8.00 6.00 2.28 4.00 0.39 194.01 bad
179.50 6.5 795 168 0.15 0.12 0.21 0.34 0.18 8.00 8.00 2.61 4.00 0.40 176.74 good
335.20 7.0 1310 293 0.12 0.09 0.24 0.29 0.26 8.00 8.00 2.58 4.00 0.37 234.30 bad
72.70 4.8 68 9 0.30 0.24 0.32 0.05 0.09 6.00 4.00 2.43 4.00 0.51 63.17 bad
448.70 7.8 1641 303 0.08 0.05 0.15 0.33 0.38 10.00 8.00 2.40 4.00 0.31 478.73 good
212.90 5.7 328 53 0.31 0.10 0.22 0.19 0.18 2.00 6.00 2.98 6.00 0.53 56.35 bad
130.30 7.0 1100 206 0.11 0.07 0.24 0.36 0.22 8.00 8.00 2.44 2.00 0.35 304.97 good
43.40 6.4 21 7 0.05 0.30 0.07 0.54 0.05 8.00 8.00 2.18 4.00 0.33 361.68 bad
25.10 6.9 83 19 0.14 0.03 0.19 0.49 0.15 8.00 8.00 2.41 2.00 0.35 311.51 bad
518.00 7.8 2366 365 0.10 0.05 0.15 0.24 0.46 10.00 8.00 2.61 4.00 0.33 364.52 good
177.70 5.5 153 42 0.23 0.21 0.22 0.24 0.10 8.00 6.00 2.62 4.00 0.47 86.23 bad
319.70 5.4 364 103 0.20 0.25 0.27 0.18 0.09 6.00 6.00 2.45 4.00 0.46 97.95 bad
62.30 6.7 61 28 0.03 0.10 0.45 0.33 0.08 6.00 6.00 1.74 2.00 0.26 909.70 bad
477.20 7.0 2356 710 0.08 0.09 0.27 0.37 0.19 8.00 8.00 2.27 2.00 0.32 402.15 good
154.00 3.9 208 26 0.48 0.22 0.19 0.09 0.02 2.00 4.00 2.20 4.00 0.56 40.59 good
209.90 3.3 1080 54 0.78 0.03 0.04 0.06 0.08 2.00 2.00 2.56 0.00 0.80 9.99 bad
382.10 6.0 674 178 0.19 0.18 0.23 0.26 0.15 8.00 6.00 2.68 4.00 0.44 113.50 good
44.60 6.1 21 5 0.15 0.15 0.35 0.20 0.15 6.00 6.00 2.49 4.00 0.41 158.29 bad
93.00 6.8 638 125 0.22 0.07 0.16 0.19 0.37 10.00 8.00 3.13 6.00 0.45 105.22 bad
163.50 5.1 45 12 0.30 0.19 0.28 0.14 0.09 2.00 6.00 2.58 4.00 0.51 62.68 good
73.20 5.7 209 50 0.19 0.22 0.25 0.22 0.12 6.00 6.00 2.58 4.00 0.45 105.28 good
